EPOCH(044%) LOSS: MLM=1.2070, CLS=0.0000 ELAPSED TIME: 76.0s
EPOCH(045%) LOSS: MLM=1.1859, CLS=0.0000 ELAPSED TIME: 76.5s
EPOCH(046%) LOSS: MLM=1.1832, CLS=0.0000 ELAPSED TIME: 76.6s
EPOCH(046%) LOSS: MLM=1.1879, CLS=0.0000 ELAPSED TIME: 76.4s
EPOCH(047%) LOSS: MLM=1.1802, CLS=0.0000 ELAPSED TIME: 75.5s
EPOCH(048%) LOSS: MLM=1.1707, CLS=0.0000 ELAPSED TIME: 77.1s
EPOCH(048%) LOSS: MLM=1.1665, CLS=0.0000 ELAPSED TIME: 76.8s
EPOCH(049%) LOSS: MLM=1.1664, CLS=0.0000 ELAPSED TIME: 75.7s
EPOCH(050%) LOSS: MLM=1.1386, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(050%) LOSS: MLM=1.1385, CLS=0.0000 ELAPSED TIME: 76.2s
EPOCH(051%) LOSS: MLM=1.1332, CLS=0.0000 ELAPSED TIME: 76.1s
EPOCH(052%) LOSS: MLM=1.1261, CLS=0.0000 ELAPSED TIME: 75.5s
EPOCH(052%) LOSS: MLM=1.1272, CLS=0.0000 ELAPSED TIME: 76.1s
EPOCH(053%) LOSS: MLM=1.1241, CLS=0.0000 ELAPSED TIME: 75.8s
EPOCH(054%) LOSS: MLM=1.1040, CLS=0.0000 ELAPSED TIME: 76.9s
EPOCH(054%) LOSS: MLM=1.1063, CLS=0.0000 ELAPSED TIME: 75.7s
EPOCH(055%) LOSS: MLM=1.0893, CLS=0.0000 ELAPSED TIME: 77.9s
EPOCH(056%) LOSS: MLM=1.0869, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(056%) LOSS: MLM=1.1039, CLS=0.0000 ELAPSED TIME: 77.2s
EPOCH(057%) LOSS: MLM=1.0670, CLS=0.0000 ELAPSED TIME: 75.3s
EPOCH(058%) LOSS: MLM=1.0702, CLS=0.0000 ELAPSED TIME: 77.1s
EPOCH(058%) LOSS: MLM=1.0669, CLS=0.0000 ELAPSED TIME: 76.3s
EPOCH(059%) LOSS: MLM=1.0808, CLS=0.0000 ELAPSED TIME: 76.7s
EPOCH(060%) LOSS: MLM=1.0704, CLS=0.0000 ELAPSED TIME: 75.7s
EPOCH(060%) LOSS: MLM=1.0629, CLS=0.0000 ELAPSED TIME: 75.2s
EPOCH(061%) LOSS: MLM=1.0542, CLS=0.0000 ELAPSED TIME: 76.1s
EPOCH(062%) LOSS: MLM=1.0402, CLS=0.0000 ELAPSED TIME: 75.2s
EPOCH(062%) LOSS: MLM=1.0365, CLS=0.0000 ELAPSED TIME: 75.7s
EPOCH(063%) LOSS: MLM=1.0359, CLS=0.0000 ELAPSED TIME: 75.5s
