EPOCH(044%) LOSS: MLM=1.6527, CLS=0.0419 ELAPSED TIME: 34.1s
EPOCH(045%) LOSS: MLM=1.6571, CLS=0.0305 ELAPSED TIME: 33.9s
EPOCH(046%) LOSS: MLM=1.6408, CLS=0.0288 ELAPSED TIME: 34.1s
EPOCH(046%) LOSS: MLM=1.6489, CLS=0.0263 ELAPSED TIME: 33.8s
EPOCH(047%) LOSS: MLM=1.6278, CLS=0.0311 ELAPSED TIME: 33.8s
EPOCH(048%) LOSS: MLM=1.6317, CLS=0.0304 ELAPSED TIME: 34.2s
EPOCH(048%) LOSS: MLM=1.6614, CLS=0.0339 ELAPSED TIME: 34.1s
EPOCH(049%) LOSS: MLM=1.6221, CLS=0.0381 ELAPSED TIME: 34.0s
EPOCH(050%) LOSS: MLM=1.6101, CLS=0.0339 ELAPSED TIME: 34.3s
EPOCH(050%) LOSS: MLM=1.5710, CLS=0.0336 ELAPSED TIME: 34.1s
EPOCH(051%) LOSS: MLM=1.5843, CLS=0.0201 ELAPSED TIME: 33.7s
EPOCH(052%) LOSS: MLM=1.5915, CLS=0.0323 ELAPSED TIME: 34.0s
EPOCH(052%) LOSS: MLM=1.5851, CLS=0.0317 ELAPSED TIME: 34.0s
EPOCH(053%) LOSS: MLM=1.5623, CLS=0.0229 ELAPSED TIME: 33.8s
EPOCH(054%) LOSS: MLM=1.5453, CLS=0.0365 ELAPSED TIME: 33.8s
EPOCH(054%) LOSS: MLM=1.5624, CLS=0.0312 ELAPSED TIME: 33.7s
EPOCH(055%) LOSS: MLM=1.5696, CLS=0.0238 ELAPSED TIME: 34.0s
EPOCH(056%) LOSS: MLM=1.5325, CLS=0.0384 ELAPSED TIME: 33.6s
EPOCH(056%) LOSS: MLM=1.4845, CLS=0.0354 ELAPSED TIME: 34.0s
EPOCH(057%) LOSS: MLM=1.5158, CLS=0.0255 ELAPSED TIME: 34.0s
EPOCH(058%) LOSS: MLM=1.5024, CLS=0.0270 ELAPSED TIME: 33.5s
