EPOCH(044%) LOSS: MLM=1.3207, CLS=0.0000 ELAPSED TIME: 34.7s
EPOCH(045%) LOSS: MLM=1.2893, CLS=0.0000 ELAPSED TIME: 34.6s
EPOCH(046%) LOSS: MLM=1.3101, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(046%) LOSS: MLM=1.2855, CLS=0.0000 ELAPSED TIME: 34.8s
EPOCH(047%) LOSS: MLM=1.2740, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(048%) LOSS: MLM=1.2781, CLS=0.0000 ELAPSED TIME: 35.3s
EPOCH(048%) LOSS: MLM=1.2692, CLS=0.0000 ELAPSED TIME: 35.0s
EPOCH(049%) LOSS: MLM=1.2581, CLS=0.0000 ELAPSED TIME: 34.4s
EPOCH(050%) LOSS: MLM=1.2378, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(050%) LOSS: MLM=1.2260, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(051%) LOSS: MLM=1.2549, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(052%) LOSS: MLM=1.1976, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(052%) LOSS: MLM=1.2028, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(053%) LOSS: MLM=1.2008, CLS=0.0000 ELAPSED TIME: 34.7s
EPOCH(054%) LOSS: MLM=1.2061, CLS=0.0000 ELAPSED TIME: 34.9s
EPOCH(054%) LOSS: MLM=1.2108, CLS=0.0000 ELAPSED TIME: 34.8s
EPOCH(055%) LOSS: MLM=1.1715, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(056%) LOSS: MLM=1.1854, CLS=0.0000 ELAPSED TIME: 34.8s
EPOCH(056%) LOSS: MLM=1.1701, CLS=0.0000 ELAPSED TIME: 35.4s
EPOCH(057%) LOSS: MLM=1.1791, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(058%) LOSS: MLM=1.1580, CLS=0.0000 ELAPSED TIME: 35.0s
EPOCH(058%) LOSS: MLM=1.1732, CLS=0.0000 ELAPSED TIME: 34.5s
EPOCH(059%) LOSS: MLM=1.1591, CLS=0.0000 ELAPSED TIME: 34.9s
EPOCH(060%) LOSS: MLM=1.1652, CLS=0.0000 ELAPSED TIME: 34.5s
EPOCH(060%) LOSS: MLM=1.1433, CLS=0.0000 ELAPSED TIME: 35.0s
EPOCH(061%) LOSS: MLM=1.1651, CLS=0.0000 ELAPSED TIME: 34.7s
EPOCH(062%) LOSS: MLM=1.1475, CLS=0.0000 ELAPSED TIME: 34.8s
EPOCH(062%) LOSS: MLM=1.1186, CLS=0.0000 ELAPSED TIME: 34.3s
EPOCH(063%) LOSS: MLM=1.1144, CLS=0.0000 ELAPSED TIME: 34.6s
EPOCH(064%) LOSS: MLM=1.1306, CLS=0.0000 ELAPSED TIME: 35.8s
EPOCH(064%) LOSS: MLM=1.0936, CLS=0.0000 ELAPSED TIME: 34.6s
EPOCH(065%) LOSS: MLM=1.1002, CLS=0.0000 ELAPSED TIME: 34.4s
EPOCH(066%) LOSS: MLM=1.1030, CLS=0.0000 ELAPSED TIME: 34.5s
EPOCH(066%) LOSS: MLM=1.1035, CLS=0.0000 ELAPSED TIME: 34.2s
EPOCH(067%) LOSS: MLM=1.0983, CLS=0.0000 ELAPSED TIME: 34.9s
EPOCH(068%) LOSS: MLM=1.0867, CLS=0.0000 ELAPSED TIME: 34.9s
EPOCH(068%) LOSS: MLM=1.0555, CLS=0.0000 ELAPSED TIME: 35.6s
EPOCH(069%) LOSS: MLM=1.0651, CLS=0.0000 ELAPSED TIME: 35.0s
EPOCH(070%) LOSS: MLM=1.0661, CLS=0.0000 ELAPSED TIME: 34.3s
EPOCH(070%) LOSS: MLM=1.0772, CLS=0.0000 ELAPSED TIME: 34.8s
EPOCH(071%) LOSS: MLM=1.0694, CLS=0.0000 ELAPSED TIME: 35.0s
EPOCH(072%) LOSS: MLM=1.0498, CLS=0.0000 ELAPSED TIME: 35.3s
EPOCH(072%) LOSS: MLM=1.0396, CLS=0.0000 ELAPSED TIME: 34.7s
EPOCH(073%) LOSS: MLM=1.0438, CLS=0.0000 ELAPSED TIME: 35.3s
EPOCH(074%) LOSS: MLM=1.0353, CLS=0.0000 ELAPSED TIME: 35.4s
EPOCH(074%) LOSS: MLM=1.0445, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(075%) LOSS: MLM=1.0455, CLS=0.0000 ELAPSED TIME: 34.7s
EPOCH(076%) LOSS: MLM=1.0380, CLS=0.0000 ELAPSED TIME: 34.9s
EPOCH(076%) LOSS: MLM=1.0246, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(077%) LOSS: MLM=1.0154, CLS=0.0000 ELAPSED TIME: 34.7s
EPOCH(078%) LOSS: MLM=1.0361, CLS=0.0000 ELAPSED TIME: 34.9s
EPOCH(078%) LOSS: MLM=1.0377, CLS=0.0000 ELAPSED TIME: 34.5s
EPOCH(079%) LOSS: MLM=1.0174, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(080%) LOSS: MLM=1.0070, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(080%) LOSS: MLM=1.0036, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(081%) LOSS: MLM=1.0100, CLS=0.0000 ELAPSED TIME: 35.2s
EPOCH(082%) LOSS: MLM=0.9836, CLS=0.0000 ELAPSED TIME: 34.8s
EPOCH(082%) LOSS: MLM=0.9785, CLS=0.0000 ELAPSED TIME: 35.4s
EPOCH(083%) LOSS: MLM=0.9852, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(084%) LOSS: MLM=0.9745, CLS=0.0000 ELAPSED TIME: 35.5s
EPOCH(084%) LOSS: MLM=0.9727, CLS=0.0000 ELAPSED TIME: 35.4s
EPOCH(085%) LOSS: MLM=0.9839, CLS=0.0000 ELAPSED TIME: 35.1s
EPOCH(086%) LOSS: MLM=0.9877, CLS=0.0000 ELAPSED TIME: 35.1s
